service,total_logs,error_count,fatal_count,warn_count,error_rate,avg_severity,logs_per_second
auth,17,1,0,2,0.02764105410936747,0.283028209875085,0.05654674676351408
auth,16,1,0,2,0.04396172300088649,0.06083076281065174,0.19883086746250564
payments,39,1,0,2,0.04728251060659291,0.2703246542970932,0.596243934279083
auth,19,1,0,1,0.0047612378427488115,0.12116613519708141,0.263683900507262
database,13,1,0,0,0.00644967617406266,0.2856884490356454,0.3035325563743707
auth,12,1,0,1,0.09558117431743746,0.1975071276555888,0.2508116451053428
payments,34,3,0,3,0.019552751957218766,0.33798015090904165,0.4789792113138286
payments,29,2,0,5,0.12088367537952813,0.32428826917806997,0.4497041599943384
database,26,0,0,2,0.05547057953555819,0.10509444254813077,0.22869445868740587
auth,23,0,0,2,0.06973257703179157,0.17499614347313125,0.39928636382912774
payments,10,3,0,5,0.11239730327136516,0.3792213127411561,0.2202631437310273
auth,22,0,0,3,0.07501548237949218,0.013299675240684428,0.12104743264242653
auth,13,1,0,0,0.07444883899492663,0.21747394285570296,0.25059268528732215
database,24,0,0,4,0.0770766929630358,0.0217073046570936,0.39173819076387206
database,6,1,0,3,0.0037782911732374027,0.17502493773582997,0.15458271305008836
database,8,0,0,1,0.034136392064410215,0.010913302447166994,0.16614541867160398
api_gateway,38,1,0,0,0.05266736751127201,0.2412441249122067,0.28892877442189724
database,15,1,0,1,0.030923380013824053,0.1332367698345139,0.21842124292417528
auth,21,0,0,3,0.06468602240172217,0.11652235016158556,0.32649844326583355
auth,11,0,0,2,0.05118277606625546,0.23424775002327844,0.24303189697500552
auth,17,0,0,2,0.09326170171703338,0.06607408212941154,0.07560112073260752
database,28,1,0,2,0.013347063331329947,0.03804910874694388,0.41735004986272123
api_gateway,38,1,0,0,0.038792069830642116,0.1690870953801625,0.5659349168791702
api_gateway,46,2,0,3,0.07040940112520787,0.1581468941197397,0.4262346041129461
payments,22,2,0,5,0.07127562990339424,0.257420849194967,0.15562309645745223
auth,12,0,0,2,0.018297338341486946,0.2272025342017654,0.20419578352624895
api_gateway,24,0,0,0,0.02200182649172076,0.050854510667158515,0.4150708580591278
auth,5,0,0,2,0.024068490922334086,0.10141272479911193,0.33397560916945723
payments,13,2,0,2,0.039376543572474845,0.2426878319128928,0.3848170788212541
auth,16,1,0,0,0.022941867651571336,0.036821795863292685,0.38766185839126466
payments,12,0,0,3,0.06701582382594103,0.0021296762284257033,0.17287689971129377
api_gateway,25,1,0,2,0.008995678672067449,0.16815279321098286,0.1663204272812593
api_gateway,13,0,0,3,0.004526572718020097,0.09560221462169458,0.3877361238318964
payments,39,1,0,1,0.029466197283417876,0.2302080867864496,0.3300848877765813
api_gateway,8,0,0,2,0.0012200304404500794,0.010561527396953319,0.45014840740450435
payments,38,3,0,0,0.11568372229356054,0.27045671544058286,0.37110829994398237
database,6,0,0,6,0.0018581370768894169,0.11640380167267649,0.14134302985240607
database,15,1,0,1,0.05263796602121695,0.2016868875424157,0.2844245050136471
payments,5,2,0,1,0.0833806221298439,0.11338445970563167,0.16457982077302183
payments,29,0,0,4,0.04716511587171081,0.2637960232498337,0.41449733285249774
auth,9,0,0,0,0.07957277149698383,0.17143456972442359,0.15916852271634496
auth,19,0,0,1,0.03858553767217361,0.05121962283391489,0.27229659685222773
database,5,0,0,2,0.07262896697387984,0.31684972991267357,0.28017947504900137
auth,19,0,0,3,0.05469348524482109,0.112589422611936,0.18167333533989682
auth,7,0,0,1,0.007880669804540741,0.17430487087448085,0.10936273352407153
database,27,1,0,3,0.04305588626574606,0.3370404190099508,0.0962642026785228
payments,25,0,0,3,0.08486209598267189,0.21474728718824088,0.2877248915200732
api_gateway,25,0,0,3,0.020982774092249194,0.0029396497881991335,0.7657439667789756
database,13,0,0,1,0.07443932975011475,0.06412905341687403,0.06321265948728523
api_gateway,30,0,0,0,0.018143190430565507,0.09295108997252913,0.7895115175565813
auth,19,1,0,1,0.03507532147493549,0.16185107713500183,0.09852981571570758
database,19,0,0,5,0.07728930579942038,0.10701081800549023,0.12640699272589068
database,7,1,0,0,0.014889779562300483,0.04084561894827283,0.052993254856635065
api_gateway,25,0,0,2,0.046346464533625176,0.05666591048305064,0.45696157626655487
payments,21,3,0,2,0.05524432014835643,0.1948064162064958,0.23500279153604037
api_gateway,37,2,0,1,0.06041012445287401,0.14047574958873726,0.4011454848552217
auth,10,1,0,2,0.09414256718178798,0.23646153332148936,0.08904357613108402
api_gateway,33,2,0,0,0.0511376111451737,0.24120529494751525,0.3971508260459483
api_gateway,30,1,0,1,0.023321083637531492,0.23903654578277295,0.11916839688232084
payments,26,3,0,1,3.61507027701824e-05,0.2312919144678055,0.5323054125289658
database,24,1,0,4,0.014351228207169503,0.28110107415514063,0.4001657729623378
auth,20,1,0,3,0.0525631914599504,0.24289569962113555,0.31334751257142845
payments,33,1,0,5,0.019359768724359443,0.27498592161989127,0.4068108154801598
auth,19,0,0,1,0.07294439883265498,0.11183311373678602,0.20860271710848247
database,5,1,0,0,0.0711021620402358,0.3180465834688776,0.09392147056950759
api_gateway,45,2,0,3,0.06750600016802784,0.2441560906334061,0.3635075357583918
api_gateway,24,0,0,3,0.021954380558546482,0.12048118748694023,0.17913297975621612
database,12,0,0,3,0.00785012772695123,0.08992370276795363,0.4010253109919494
payments,27,1,0,0,0.039403996482000776,0.052864711010009474,0.4500108624817626
auth,11,0,0,2,0.027402469403848585,0.1304807701090227,0.07816052973473743
auth,11,0,0,2,0.0327726956682071,0.29467782236121076,0.22707411529064936
payments,37,2,0,5,0.008964341126757662,0.18179309318214268,0.5851375592311677
auth,16,1,0,2,0.08786215968075725,0.037957702894673394,0.33767523462718374
database,22,1,0,1,0.06846717003959356,0.25306270320074836,0.29876393687593567
api_gateway,21,0,0,1,0.005801177348797469,0.20332173912292423,0.6310084583097749
payments,7,2,0,0,0.09045207950468823,0.15485220358845933,0.07711059946309244
payments,24,3,0,5,0.07561051196226365,0.2929203082432724,0.15985068551732273
database,27,1,0,3,0.01633010277305577,0.05012964523356286,0.45614388199147465
auth,10,0,0,0,0.0363128442846072,0.12981193477461112,0.21488552306786451
auth,19,1,0,2,0.09412216350952907,0.20472184858659528,0.20843388326743004
api_gateway,28,0,0,3,0.04484581633742522,0.16778781309771906,0.3040605531483217
auth,17,0,0,3,0.009137144056141478,0.03149711253754053,0.3749482530730718
payments,29,0,0,4,0.14486556658264307,0.02893935353442294,0.12071749343828315
auth,22,1,0,2,0.026943849074809168,0.17955102421550398,0.22052731144730464
payments,6,3,0,1,0.03972244826674782,0.20458701601704699,0.4743166811493091
api_gateway,9,0,0,0,0.02243402516876311,0.03753400330410414,0.2814888086648837
database,17,1,0,2,0.05924134396459637,0.33165558992184757,0.07783209153555495
database,24,1,0,2,0.03760958128531751,0.10715374674623526,0.09738181594305975
auth,3,1,0,0,0.0016058822680113717,0.048996722914292565,0.14661611734087893
payments,32,2,0,5,0.1227540962092825,0.008160644275282536,0.5792603479199228
auth,13,1,0,3,0.09804488986363928,0.11155479081118766,0.2975008215981896
database,23,0,0,1,0.07609789965116842,0.11528653213604409,0.2289666193303997
payments,32,1,0,4,0.044426514833849774,0.35216876114944196,0.36065007267810834
api_gateway,12,0,0,1,0.0073566502179645,0.08781334530071042,0.69373721178605
payments,21,1,0,3,0.0631344793138839,0.0022525250992214917,0.2388868234107212
payments,22,3,0,5,0.09286821000700443,0.23368991553268725,0.5394620807395538
payments,38,0,0,4,0.11549604273099014,0.21738794799254527,0.06226593769425397
api_gateway,40,2,0,2,0.07471425435642394,0.11290884941607399,0.18441251506211465
api_gateway,42,1,0,1,0.06300770601465967,0.08808917095604787,0.682895848703432
auth,13,0,0,2,0.005799757247270843,0.04338850143703423,0.20034092390761168
payments,35,1,0,2,0.09174835134690211,0.13176666294977718,0.18680879646015025
payments,22,2,0,0,0.051444977955011725,0.04489642879663545,0.38187966815975577
auth,9,1,0,0,0.0895866939157868,0.04107473774306717,0.03481935371578202
api_gateway,29,2,0,0,0.03222105214508396,0.1712569499692206,0.6272464882340184
api_gateway,23,0,0,1,0.040613273544388095,0.13407832739035863,0.7382837617403675
database,9,0,0,4,0.028735943651456645,0.321373010318071,0.27694458899736113
auth,20,0,0,2,0.009949941425661569,0.08320197538168182,0.13586144859430932
payments,34,3,0,0,0.07701517456887301,0.15457734037232695,0.11355618435998632
database,21,1,0,1,0.061316419679815895,0.2417857571895594,0.19227865609142186
payments,39,1,0,1,0.037493847185924335,0.10965446687677534,0.5314309954508494
payments,6,2,0,5,0.07140850532265926,0.07994918985977746,0.35498190563003074
database,15,1,0,0,0.02360875743052839,0.28936690369427825,0.21685205505674318
auth,4,1,0,3,0.005337549417726084,0.17555494244952402,0.37036084690301685
payments,34,0,0,1,0.0905689135929177,0.32412131964933305,0.18556285026720493
database,26,1,0,3,0.06950472573051596,0.13572258682753097,0.3365728052292016
database,24,1,0,6,0.06244309541116002,0.2535410501112618,0.12772954585897006
api_gateway,16,1,0,3,0.014094557973987253,0.247440487798017,0.6165566153547596
payments,39,1,0,0,0.07775994399495977,0.23971742652419148,0.38355177654895006
payments,30,1,0,4,0.08260358170421919,0.10902309952616021,0.4365305824412861
database,8,1,0,2,0.05555809835333308,0.2264999377655382,0.38716613017604035
auth,15,0,0,1,0.09085240305005124,0.1402076053856757,0.13533370374579448
api_gateway,48,1,0,1,0.019317396311471332,0.138620489941395,0.7901590232231177
api_gateway,35,2,0,2,0.017868720792360876,0.13162298665344008,0.7569432396576323
payments,35,1,0,1,0.03426387784626302,0.13005317136010577,0.1355746784117543
database,8,1,0,2,0.03434311602407616,0.24128323391777512,0.14063464739339518
payments,17,1,0,2,0.13589159518893967,0.14576394639816131,0.4661425334494698
payments,25,3,0,1,0.1382590004177492,0.19413795885376725,0.2961482295064508
api_gateway,8,1,0,3,0.05389104905376695,0.18753235172954605,0.5626269484490103
database,11,1,0,0,0.019666501463197684,0.3189590537614691,0.4591681596599741
database,19,0,0,6,0.0040781410774940775,0.08578325255671222,0.274838715955754
database,4,1,0,3,0.004542459140504551,0.0447100946281557,0.09269853996218215
payments,14,0,0,3,0.13811346765821006,0.2082082134566058,0.10008640014519954
database,6,1,0,5,0.04082458113689806,0.044663213967572106,0.3392848800250101
api_gateway,43,0,0,0,0.009362261665857706,0.043961921131904974,0.6594320842687504
auth,22,1,0,3,0.07596949977999118,0.21020170345384795,0.2661619791854535
database,17,1,0,4,0.036201261107316265,0.34086698570295126,0.47094897429086835
payments,17,1,0,1,0.1425909557369809,0.28646955078257225,0.395091454225183
api_gateway,37,2,0,0,0.05367834357156406,0.031321114644497994,0.5120130875309912
auth,24,1,0,2,0.037596110216135396,0.20570299090010824,0.1129919719252406
api_gateway,11,2,0,3,0.046050947009931696,0.09989031580724625,0.11210547292036094
api_gateway,32,1,0,1,0.03732803821696062,0.08754609579785136,0.48993701241659693
api_gateway,23,2,0,2,0.024317043984794378,0.14238002448751275,0.18548433555626134
auth,19,1,0,2,0.01056428488702419,0.04806863280660151,0.37868110495165597
api_gateway,44,1,0,2,0.00942515714507314,0.16313525496617523,0.637533103243867
payments,12,0,0,1,0.13216577225348486,0.17546215254014982,0.3639090579533259
auth,19,0,0,1,0.04568163262063199,0.221567112190067,0.38651355112033026
payments,16,3,0,4,0.013455137852226866,0.08589780096334297,0.3006546977046666
auth,17,0,0,2,0.03934805505886262,0.26127619825496956,0.3109497203740087
